epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2365,1.76958,10.7411,0.50023,3.0505,2.36609,0.82493,0.91518,0.93512,0.74437,0,0,0,0,1.13712,11.2342,0.69318,1.78551,2.15337,0.06832,0.00032,0.00032
1,23.0242,1.03706,10.5705,0.41168,1.42929,1.72323,0.91435,0.98214,0.987,0.81557,0,0,0,0,1.01882,10.7095,0.29251,0.81678,1.15911,0.0674925,0.000328358,0.000328358
2,47.5666,0.45475,10.318,0.34109,0.31167,1.17088,0.97008,0.98214,0.99466,0.85844,0,0,0,0,1.05226,10.1377,0.29857,0.66109,1.20019,0.0344925,0.00066162,0.00066162
3,74.1399,0.40657,10.1074,0.33527,0.29184,1.11053,0.8957,0.98214,0.98732,0.68113,0,0,0,0,1.07057,10.2394,0.28964,1.40011,1.91781,0.00149211,0.000994593,0.000994593
4,100.665,0.38924,10.0035,0.32809,0.29128,1.1063,0.60073,0.875,0.64697,0.52321,0,0,0,0,1.07175,10.5336,0.28613,1.13593,1.28923,0.000999023,0.000999023,0.000999023
5,125.762,0.35188,9.95843,0.32526,0.26682,1.0725,0.95267,0.91071,0.96752,0.80478,0,0,0,0,1.12693,10.3982,0.30468,0.72543,1.24724,0.000998264,0.000998264,0.000998264
6,148.361,0.33211,9.9228,0.32451,0.25747,1.04569,0.98024,0.98214,0.99217,0.89968,0,0,0,0,0.72329,10.1005,0.2674,0.61916,0.94414,0.000997288,0.000997288,0.000997288
7,170.452,0.29488,9.85121,0.319,0.23473,1.0162,0.97179,1,0.99447,0.87383,0,0,0,0,0.70494,10.2483,0.32193,0.75069,0.76974,0.000996097,0.000996097,0.000996097
8,191.965,0.29032,9.75402,0.31504,0.22963,0.99781,0.99803,1,0.995,0.90622,0,0,0,0,0.5873,10.11,0.26228,0.42293,0.7863,0.00099469,0.00099469,0.00099469
9,213.558,0.26705,9.71957,0.31662,0.21402,0.97412,1,0.94262,0.99211,0.93794,0,0,0,0,0.71496,10.3255,0.26895,0.62178,0.71755,0.000993068,0.000993068,0.000993068
10,235.105,0.27221,9.58678,0.31021,0.20611,0.98434,0.99385,1,0.995,0.94406,0,0,0,0,0.47552,9.92583,0.26335,0.397,0.56371,0.000991232,0.000991232,0.000991232
11,256.724,0.26388,9.59843,0.3058,0.20718,0.9795,0.99827,1,0.995,0.96616,0,0,0,0,0.52198,9.92538,0.25384,0.42365,0.58055,0.000989183,0.000989183,0.000989183
12,278.265,0.25015,9.59071,0.30494,0.1997,0.96029,0.999,1,0.995,0.9869,0,0,0,0,0.39684,9.80532,0.2693,0.4519,0.53135,0.000986922,0.000986922,0.000986922
13,299.839,0.26676,9.54426,0.30477,0.20634,0.97708,0.99899,1,0.995,0.98433,0,0,0,0,0.50501,9.69095,0.25349,0.40689,0.55127,0.000984449,0.000984449,0.000984449
14,321.401,0.25356,9.46585,0.29789,0.19331,0.97085,0.99047,1,0.995,0.98645,0,0,0,0,0.48134,9.85301,0.35399,0.46979,0.53508,0.000981765,0.000981765,0.000981765
15,342.984,0.23572,9.45932,0.30375,0.18763,0.95187,0.99898,1,0.995,0.96636,0,0,0,0,0.55797,9.609,0.25462,0.6055,0.59038,0.000978873,0.000978873,0.000978873
16,364.563,0.24546,9.31037,0.29552,0.19423,0.96284,0.94889,1,0.99108,0.96004,0,0,0,0,0.43153,9.9405,0.23651,0.53323,0.64058,0.000975773,0.000975773,0.000975773
17,386.193,0.22843,9.33439,0.29121,0.18317,0.95608,1,1,0.995,0.99102,0,0,0,0,0.46341,9.8255,0.26131,0.3924,0.57498,0.000972466,0.000972466,0.000972466
18,407.893,0.21383,9.31836,0.29556,0.17849,0.94321,0.99702,1,0.995,0.94556,0,0,0,0,0.48872,9.49264,0.25241,0.48743,0.56855,0.000968955,0.000968955,0.000968955
19,429.737,0.21307,9.12469,0.29149,0.17589,0.93908,0.99903,1,0.995,0.91014,0,0,0,0,0.28944,9.37977,0.24129,0.43146,0.39157,0.000965239,0.000965239,0.000965239
20,451.578,0.20083,9.21876,0.28951,0.16946,0.93173,0.99862,1,0.995,0.99142,0,0,0,0,0.33727,9.43708,0.25685,0.47974,0.47324,0.000961322,0.000961322,0.000961322
21,473.341,0.20206,9.17811,0.29296,0.16334,0.92674,0.98661,1,0.995,0.92849,0,0,0,0,0.37278,9.60701,0.23914,0.57201,0.52068,0.000957205,0.000957205,0.000957205
22,495.022,0.20041,9.20244,0.28364,0.1682,0.93395,0.99711,1,0.995,0.995,0,0,0,0,0.29329,9.79887,0.25762,0.33546,0.48468,0.000952889,0.000952889,0.000952889
23,516.704,0.19663,9.10837,0.28156,0.16031,0.92657,0.99905,1,0.995,0.995,0,0,0,0,0.30095,9.26542,0.22889,0.26813,0.45902,0.000948377,0.000948377,0.000948377
24,538.315,0.20122,9.0704,0.28431,0.16191,0.92986,0.99898,1,0.995,0.99121,0,0,0,0,0.32271,9.26321,0.23633,0.36646,0.43249,0.000943671,0.000943671,0.000943671
25,559.962,0.20611,9.04113,0.27767,0.16739,0.93159,0.99839,1,0.995,0.99108,0,0,0,0,0.24175,9.40772,0.23574,0.28318,0.36623,0.000938772,0.000938772,0.000938772
26,581.647,0.19846,8.92223,0.27375,0.16195,0.93464,0.97986,1,0.99482,0.97161,0,0,0,0,0.35196,9.31982,0.22497,0.32517,0.47752,0.000933683,0.000933683,0.000933683
27,603.287,0.18413,8.93038,0.2655,0.15529,0.92233,0.99892,1,0.995,0.99065,0,0,0,0,0.26828,9.27267,0.21548,0.30262,0.42366,0.000928405,0.000928405,0.000928405
